,0
1,Aatrox
2,Ahri
3,Akali
4,Alistar
5,Amumu
6,Anivia
7,Annie
8,Aphelios
9,Ashe
10,AurelionSol
11,Azir
12,Bard
13,Blitzcrank
14,Brand
15,Braum
16,Caitlyn
17,Camille
18,Cassiopeia
19,Chogath
20,Corki
21,Darius
22,Diana
23,Draven
24,DrMundo
25,Ekko
26,Elise
27,Evelynn
28,Ezreal
29,Fiddlesticks
30,Fiora
31,Fizz
32,Galio
33,Gangplank
34,Garen
35,Gnar
36,Gragas
37,Graves
38,Hecarim
39,Heimerdinger
40,Illaoi
41,Irelia
42,Ivern
43,Janna
44,JarvanIV
45,Jax
46,Jayce
47,Jhin
48,Jinx
49,Kaisa
50,Kalista
51,Karma
52,Karthus
53,Kassadin
54,Katarina
55,Kayle
56,Kayn
57,Kennen
58,Khazix
59,Kindred
60,Kled
61,KogMaw
62,Leblanc
63,LeeSin
64,Leona
65,Lillia
66,Lissandra
67,Lucian
68,Lulu
69,Lux
70,Malphite
71,Malzahar
72,Maokai
73,MasterYi
74,MissFortune
75,MonkeyKing
76,Mordekaiser
77,Morgana
78,Nami
79,Nasus
80,Nautilus
81,Neeko
82,Nidalee
83,Nocturne
84,Nunu
85,Olaf
86,Orianna
87,Ornn
88,Pantheon
89,Poppy
90,Pyke
91,Qiyana
92,Quinn
93,Rakan
94,Rammus
95,RekSai
96,Rell
97,Renekton
98,Rengar
99,Riven
100,Rumble
101,Ryze
102,Samira
103,Sejuani
104,Senna
105,Seraphine
106,Sett
107,Shaco
108,Shen
109,Shyvana
110,Singed
111,Sion
112,Sivir
113,Skarner
114,Sona
115,Soraka
116,Swain
117,Sylas
118,Syndra
119,TahmKench
120,Taliyah
121,Talon
122,Taric
123,Teemo
124,Thresh
125,Tristana
126,Trundle
127,Tryndamere
128,TwistedFate
129,Twitch
130,Udyr
131,Urgot
132,Varus
133,Vayne
134,Veigar
135,Velkoz
136,Vi
137,Viego
138,Viktor
139,Vladimir
140,Volibear
141,Warwick
142,Xayah
143,Xerath
144,XinZhao
145,Yasuo
146,Yone
147,Yorick
148,Yuumi
149,Zac
150,Zed
151,Ziggs
152,Zilean
153,Zoe
154,Zyra
